ID,Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Jenjang Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income
7261,1992,Swasta,188154,Diploma,Kuliah,Cerai,Inspeksi dan Operasi Mesin,Belum Menikah,1,Female,0,0,40,United-States,1,<=50K
7262,1990,Swasta,265807,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,2051,55,United-States,0,<=50K
7263,1985,Swasta,174242,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,<=50K
7264,1977,Pemerintah pusat,137917,Diploma,Kuliah,Menikah,Administratif dan Kantor,Suami,2,Male,0,0,40,United-States,0,>50K
7265,1980,Swasta,156815,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,3,<=50K
7266,1973,Swasta,136913,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,0,<=50K
7267,1975,Swasta,54772,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,3103,0,45,United-States,1,>50K
7268,1998,Swasta,389856,SMA Grad,SMA Grad,Belum-menikah,Transportasi dan Pengangkutan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K
7269,1979,Swasta,183168,Sarjana,Sarjana,Cerai,Eksekutif Manager,Belum Menikah,1,Female,0,0,40,United-States,1,<=50K
7270,1989,Swasta,188888,Sarjana,Sarjana,Belum-menikah,Sales,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,>50K
7271,1998,Pengusaha perorangan,93806,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,55,United-States,1,<=50K
7272,1997,Pemerintah daerah,209109,Magister,Magister,Belum-menikah,Spesialis Profesional,Punya Anak,1,Male,0,0,35,United-States,0,<=50K
7273,1974,Pemerintah negara,103063,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,0,>50K
7274,1959,Swasta,173674,SMA Grad,SMA Grad,Cerai,Layanan Lainnya,Kerabat,1,Female,0,0,14,United-States,0,<=50K
7275,1982,Swasta,228456,Sarjana,Sarjana,Rencana Cerai,Layanan Lainnya,Kerabat,2,Male,0,0,50,United-States,0,<=50K
7276,2001,Swasta,237044,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Punya Anak,2,Male,0,0,12,United-States,0,<=50K
7277,1980,Pengusaha berbadan hukum,56651,Diploma,Kuliah,Menikah,Eksekutif Manager,Suami,1,Male,7688,0,45,United-States,2,>50K
7278,1996,Swasta,37821,Diploma,Kuliah,Cerai,Sales,Belum Menikah,1,Female,0,0,45,United-States,2,<=50K
7279,1993,Swasta,130620,kelas 11,SMA_2,LDM,Sales,Punya Anak,3,Female,0,0,40,India,0,<=50K
7280,1988,Swasta,126954,SMA Grad,SMA Grad,Cerai,Transportasi dan Pengangkutan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K
7281,1986,Swasta,96330,Asosiasi vokasional,vokasi Grad_2,Cerai,Administratif dan Kantor,Belum Menikah,2,Female,0,0,40,United-States,2,<=50K
7282,1984,Pengusaha perorangan,192507,Asosiasi akademik,vokasi Grad_1,Cerai,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,50,United-States,3,<=50K
7283,2001,Swasta,157127,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,20,United-States,0,<=50K
7284,2000,,151153,Diploma,Kuliah,Belum-menikah,,Tidak dalam Keluarga,3,Male,99999,0,50,South,0,>50K
7285,1988,Swasta,178815,Sarjana,Sarjana,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Male,8614,0,40,United-States,0,>50K
7286,1973,Swasta,205100,Diploma,Kuliah,Cerai,Sales,Tidak dalam Keluarga,1,Female,0,0,45,United-States,3,>50K
7287,1959,Pengusaha berbadan hukum,115922,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,0,>50K
7288,1995,Swasta,86613,kelas 1-4,SD_1,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,20,El-Salvador,0,<=50K
7289,1986,Swasta,316211,SMA Grad,SMA Grad,Cerai,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,40,United-States,3,<=50K
7290,1977,Swasta,131002,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,50,United-States,1,>50K
7291,1964,Swasta,93997,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,15024,0,45,United-States,1,>50K
7292,2006,Swasta,242893,kelas 11,SMA_2,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,35,United-States,0,<=50K
7293,1979,Swasta,188386,SMA Grad,SMA Grad,Menikah,Pengelola Kebersihan,Suami,1,Male,0,1628,45,United-States,2,<=50K
7294,1977,Pengusaha berbadan hukum,139268,Proffesor,Doktor,Menikah,Spesialis Profesional,Suami,1,Male,0,1977,60,United-States,3,>50K
7295,1987,Swasta,136028,Asosiasi vokasional,vokasi Grad_2,Menikah,Layanan Lainnya,Suami,1,Male,0,0,40,United-States,1,<=50K
7296,1979,Pengusaha perorangan,142871,Diploma,Kuliah,Rencana Cerai,Sales,Belum Menikah,1,Male,0,0,50,United-States,3,<=50K
7297,2004,Swasta,396722,Diploma,Kuliah,Belum-menikah,Sales,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K
7298,1975,Swasta,160647,Sarjana,Sarjana,Menikah,Administratif dan Kantor,Istri,1,Female,0,0,40,United-States,1,>50K
7299,2006,Swasta,234953,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,25,United-States,0,<=50K
7300,1964,Swasta,252413,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Suami,5,Male,0,0,32,United-States,2,>50K
7301,1999,,41107,Sarjana,Sarjana,LDM,,Tidak dalam Keluarga,1,Male,0,0,40,Canada,1,<=50K
7302,1991,Swasta,261511,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2,<=50K
7303,1959,Swasta,155261,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,0,>50K
7304,1991,Pengusaha perorangan,270889,SMA Grad,SMA Grad,Belum-menikah,Transportasi dan Pengangkutan,Tidak dalam Keluarga,1,Male,0,0,60,United-States,0,<=50K
7305,2000,Swasta,464103,SMA Grad,SMA Grad,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Male,0,0,50,United-States,0,<=50K
7306,1998,Swasta,152855,SMA Grad,SMA Grad,Belum-menikah,Eksekutif Manager,Punya Anak,5,Female,0,0,40,Mexico,0,<=50K
7307,1965,Swasta,176647,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2,>50K
7308,1999,Swasta,130513,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Sales,Punya Anak,1,Female,0,0,40,Peru,0,<=50K
7309,1983,Pengusaha berbadan hukum,114580,Proffesor,Doktor,Menikah,Eksekutif Manager,Istri,1,Female,0,2415,55,United-States,3,>50K
7310,1996,Swasta,190836,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,3411,0,40,United-States,3,<=50K
7311,2004,Swasta,258490,Diploma,Kuliah,Belum-menikah,Sales,Tidak dalam Keluarga,1,Female,0,0,35,United-States,0,<=50K
7312,1974,Pemerintah daerah,117791,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K
7313,1992,Swasta,116138,Magister,Magister,Belum-menikah,Dukungan Teknis,Tidak dalam Keluarga,3,Male,0,0,11,Taiwan,0,<=50K
7314,1994,Swasta,94245,Diploma,Kuliah,Menikah,Pengelola Kebersihan,Suami,1,Male,0,0,40,United-States,1,<=50K
7315,1977,Swasta,418961,Asosiasi vokasional,vokasi Grad_2,Cerai,Sales,Belum Menikah,2,Female,0,0,25,United-States,1,<=50K
7316,1982,Swasta,107762,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0,>50K
7317,1971,Swasta,208302,kelas 10,SMA_1,Menikah,Layanan Lainnya,Suami,1,Male,0,0,34,United-States,1,<=50K
7318,2007,Swasta,95799,kelas 11,SMA_2,Belum-menikah,Sales,Punya Anak,1,Female,0,0,18,United-States,0,<=50K
7319,1997,Pemerintah pusat,285432,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Transportasi dan Pengangkutan,Tidak dalam Keluarga,2,Male,0,0,40,United-States,0,<=50K
7320,1975,Swasta,192323,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,2,<=50K
7321,1961,Pengusaha perorangan,179400,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,2290,0,20,United-States,0,<=50K
7322,2000,Swasta,126568,Sarjana,Sarjana,Menikah,Layanan Lainnya,Suami,1,Male,0,0,33,United-States,1,<=50K
7323,1988,Swasta,203482,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,3,<=50K
7324,1981,Pemerintah negara,270721,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,55,United-States,0,>50K
7325,1978,Swasta,184632,Asosiasi vokasional,vokasi Grad_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,50,United-States,1,<=50K
7326,1969,Swasta,141727,Sarjana,Sarjana,Menikah,Administratif dan Kantor,Istri,1,Female,3464,0,40,United-States,3,<=50K
7327,1995,Swasta,57596,Diploma,Kuliah,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,3,<=50K
7328,1987,Swasta,215392,Sarjana,Sarjana,Cerai,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,2,<=50K
7329,1962,Pemerintah daerah,114060,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,2,<=50K
7330,1980,Pengusaha perorangan,195486,SMA Grad,SMA Grad,Menikah,Sales,Suami,2,Male,0,0,70,Jamaica,0,<=50K
7331,1992,Swasta,126838,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K
7332,1988,Swasta,220696,SMA Grad,SMA Grad,Cerai,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,40,United-States,2,<=50K
7333,1964,,41553,Diploma,Kuliah,Duda/Janda,,Tidak dalam Keluarga,2,Female,0,0,40,United-States,1,<=50K
7334,1961,Swasta,109517,Diploma,Kuliah,Duda/Janda,Administratif dan Kantor,Belum Menikah,1,Female,0,0,43,United-States,1,<=50K
7335,1988,Pemerintah pusat,106297,Magister,Magister,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,0,>50K
7336,1934,,225063,Diploma,Kuliah,Belum-menikah,,Punya Anak,3,Male,0,0,10,South,0,<=50K
7337,1982,Swasta,195096,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,4064,0,40,United-States,0,<=50K
7338,1995,Swasta,214925,Magister,Magister,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,2,Male,0,0,60,United-States,0,<=50K
7339,1994,Swasta,350979,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,3,Male,0,0,40,Laos,2,<=50K
7340,2001,Swasta,447488,kelas 9,SMP_2,Belum-menikah,Inspeksi dan Operasi Mesin,Kerabat,1,Male,0,0,35,Mexico,0,<=50K
7341,1957,Pengusaha perorangan,195066,SMA Grad,SMA Grad,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,50,United-States,2,<=50K
7342,1954,,410980,Diploma,Kuliah,Menikah,,Suami,1,Male,0,0,10,United-States,0,>50K
7343,1990,Swasta,191834,Asosiasi vokasional,vokasi Grad_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,48,United-States,0,<=50K
7344,2001,Pemerintah pusat,163870,Diploma,Kuliah,Belum-menikah,Angkatan Bersenjata,Kerabat,1,Male,0,0,40,United-States,0,<=50K
7345,2007,,181337,kelas 10,SMA_1,Belum-menikah,,Punya Anak,5,Female,0,0,20,United-States,0,<=50K
7346,1990,Pemerintah negara,34104,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,7688,0,38,United-States,0,>50K
7347,1970,Swasta,288992,kelas 10,SMA_1,Cerai,Spesialis Profesional,Belum Menikah,1,Male,14344,0,68,United-States,1,>50K
7348,1978,Pengusaha perorangan,57452,Asosiasi vokasional,vokasi Grad_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2,>50K
7349,2007,Swasta,104232,kelas 10,SMA_1,Belum-menikah,Layanan Lainnya,Punya Anak,1,Male,0,0,10,United-States,0,<=50K
7350,1972,Swasta,318975,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Belum Menikah,1,Female,0,0,40,Cuba,3,<=50K
7351,2005,Swasta,93604,kelas 7-8,SMP_1,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,1602,32,United-States,0,<=50K
7352,1972,Swasta,189728,SMA Grad,SMA Grad,Rencana Cerai,Pembantu Rumah Tangga,Tidak dalam Keluarga,1,Female,0,0,50,United-States,3,<=50K
7353,1971,Swasta,82646,Doktor,Proffesor,Cerai,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,55,United-States,2,>50K
7354,1982,Pengusaha perorangan,32546,Proffesor,Doktor,Cerai,Spesialis Profesional,Belum Menikah,1,Male,7430,0,40,United-States,2,>50K
7355,1984,Swasta,235371,Asosiasi vokasional,vokasi Grad_2,Cerai,Spesialis Profesional,Belum Menikah,1,Male,0,0,40,United-States,3,<=50K
7356,1959,Pengusaha perorangan,115498,Sarjana,Sarjana,Menikah,Sales,Suami,1,Male,3818,0,10,United-States,2,<=50K
7357,1981,Pemerintah pusat,77370,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,2,<=50K
7358,2001,Swasta,135138,Sarjana,Sarjana,Belum-menikah,Sales,Punya Anak,3,Male,0,0,40,United-States,0,<=50K
7359,1996,Swasta,114158,Sarjana,Sarjana,Menikah,Spesialis Profesional,Istri,1,Female,0,1977,24,United-States,1,>50K
7360,2003,Swasta,222993,SMA Grad,SMA Grad,Belum-menikah,Inspeksi dan Operasi Mesin,Punya Anak,1,Male,0,0,40,United-States,0,<=50K
7361,1986,Swasta,423616,Asosiasi vokasional,vokasi Grad_2,Menikah,Dukungan Teknis,Istri,1,Female,0,0,36,United-States,0,>50K
7362,1982,Swasta,132222,Sarjana,Sarjana,Belum-menikah,Sales,Punya Anak,1,Male,0,0,60,United-States,0,<=50K
7363,1990,Swasta,295855,kelas 11,SMA_2,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,70,United-States,1,<=50K
7364,1968,Swasta,89922,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,3103,0,45,United-States,3,>50K
7365,1994,Swasta,446358,SMA Grad,SMA Grad,Belum-menikah,Administratif dan Kantor,Belum Menikah,1,Male,0,0,41,United-States,0,<=50K
7366,1990,Swasta,304872,kelas 9,SMP_2,Cerai,Layanan Lainnya,Belum Menikah,1,Female,0,0,40,United-States,0,<=50K
7367,1985,Swasta,319248,kelas 10,SMA_1,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,25,Mexico,0,<=50K
7368,1961,Swasta,213095,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,50,United-States,2,>50K
7369,1982,Swasta,172148,Diploma,Kuliah,Menikah,Administratif dan Kantor,Suami,2,Male,0,0,40,United-States,2,<=50K
7370,2001,Pemerintah pusat,41432,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,15,United-States,0,<=50K
7371,1989,Swasta,241306,Asosiasi vokasional,vokasi Grad_2,Menikah,Dukungan Teknis,Suami,1,Male,0,0,40,United-States,3,>50K
7372,2004,Swasta,263612,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Punya Anak,2,Female,0,0,40,Haiti,0,<=50K
7373,1978,Swasta,83064,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,2,<=50K
7374,1974,Swasta,149770,Magister,Magister,Belum-menikah,Spesialis Profesional,Belum Menikah,1,Female,0,0,40,United-States,0,<=50K
7375,1985,Pemerintah daerah,229651,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,50,United-States,2,>50K
7376,1962,Pengusaha perorangan,197353,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,1740,40,United-States,0,<=50K
7377,1964,Pengusaha perorangan,376973,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,42,United-States,0,>50K
7378,1997,Swasta,212506,Diploma,Kuliah,Cerai,Administratif dan Kantor,Belum Menikah,2,Female,0,0,40,United-States,1,<=50K
7379,1975,Pengusaha perorangan,349986,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,60,United-States,1,>50K
7380,1999,Swasta,174592,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,25,United-States,0,<=50K
7381,1978,Swasta,185291,kelas 11,SMA_2,Menikah,Pengelola Kebersihan,Suami,1,Male,0,0,45,United-States,3,>50K
7382,1982,Swasta,184682,Asosiasi vokasional,vokasi Grad_2,Cerai,Dukungan Teknis,Tidak dalam Keluarga,1,Female,0,0,30,United-States,2,<=50K
7383,1967,,50248,Diploma,Kuliah,Menikah,,Suami,1,Male,0,0,40,United-States,3,<=50K
7384,1998,Pemerintah pusat,218782,SMA Grad,SMA Grad,Menikah,Administratif dan Kantor,Suami,5,Male,0,0,40,United-States,1,<=50K
7385,1985,Swasta,164866,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,42,United-States,2,>50K
7386,1986,Swasta,76878,kelas 11,SMA_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,5178,0,40,United-States,0,>50K
7387,2005,Swasta,533147,SMA Grad,SMA Grad,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Male,0,0,30,United-States,0,<=50K
7388,1964,,41517,kelas 11,SMA_2,LDM,,Belum Menikah,2,Female,0,0,20,United-States,1,<=50K
7389,1967,Swasta,300908,Asosiasi akademik,vokasi Grad_1,Cerai,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,75,United-States,0,<=50K
7390,1984,Swasta,192259,Magister,Magister,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,35,United-States,0,<=50K
7391,1995,Swasta,394927,Asosiasi vokasional,vokasi Grad_2,Menikah,Layanan Lainnya,Suami,1,Male,0,0,40,?,1,<=50K
7392,1993,Pengusaha perorangan,286282,Sarjana,Sarjana,Menikah,Administratif dan Kantor,Istri,1,Female,0,0,20,United-States,2,<=50K
7393,1988,Swasta,162302,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,35,United-States,0,<=50K
7394,1988,Swasta,73023,SMA Grad,SMA Grad,Cerai,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,55,United-States,3,<=50K
7395,1982,Swasta,153414,Sarjana,Sarjana,Menikah,Sales,Suami,2,Male,0,0,40,United-States,3,>50K
7396,1974,Swasta,208630,Magister,Magister,Cerai,Sales,Tidak dalam Keluarga,1,Female,0,0,50,United-States,1,>50K
7397,1985,Swasta,65382,Diploma,Kuliah,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,1,<=50K
7398,2007,,304873,kelas 10,SMA_1,Belum-menikah,,Punya Anak,1,Female,34095,0,32,United-States,0,<=50K
7399,1957,Swasta,172756,kelas 1-4,SD_1,Duda/Janda,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Female,2062,0,34,Ecuador,2,<=50K
7400,1965,Pengusaha berbadan hukum,31359,Magister,Magister,Menikah,Eksekutif Manager,Suami,1,Male,15024,0,80,United-States,3,>50K
7401,2004,Swasta,107801,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,2205,18,United-States,0,<=50K
7402,1997,Pemerintah daerah,172091,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Belum Menikah,2,Male,0,0,40,United-States,0,<=50K
7403,1973,Swasta,199995,kelas 9,SMP_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,50,United-States,2,>50K
7404,1992,Swasta,172579,SMA Grad,SMA Grad,Rencana Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,30,United-States,3,<=50K
7405,1998,Pemerintah daerah,30793,Sarjana,Sarjana,Menikah,Spesialis Profesional,Istri,1,Female,0,0,55,United-States,0,>50K
7406,2000,Swasta,450695,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Sales,Tidak dalam Keluarga,1,Male,0,0,35,United-States,0,<=50K
7407,1988,Swasta,76845,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Punya Anak,2,Male,0,0,35,United-States,0,<=50K
7408,1984,Swasta,168071,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,28,United-States,0,<=50K
7409,1986,Swasta,60313,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K
7410,2003,Swasta,194096,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,40,United-States,0,<=50K
7411,2003,Swasta,109667,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Punya Anak,1,Male,0,0,40,United-States,0,<=50K
7412,1994,,201196,kelas 11,SMA_2,Belum-menikah,,Punya Anak,2,Female,0,0,40,United-States,0,<=50K
7413,1972,Swasta,117295,kelas 1-4,SD_1,Menikah,Eksekutif Manager,Suami,1,Male,0,0,50,United-States,0,>50K
7414,1950,,95825,Diploma,Kuliah,Duda/Janda,,Tidak dalam Keluarga,1,Female,0,0,3,United-States,3,<=50K
7415,1984,Swasta,195892,Diploma,Kuliah,Cerai,Transportasi dan Pengangkutan,Tidak dalam Keluarga,2,Female,0,0,40,United-States,3,<=50K
7416,1995,Swasta,282944,Doktor,Proffesor,Menikah,Spesialis Profesional,Suami,1,Male,0,0,50,United-States,2,>50K
7417,1981,Swasta,96102,Magister,Magister,LDM,Eksekutif Manager,Tidak dalam Keluarga,1,Male,0,0,50,United-States,2,<=50K
7418,2002,Swasta,123876,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,20,United-States,0,<=50K
7419,1986,Swasta,116358,Diploma,Kuliah,Menikah,Layanan Lainnya,Suami,3,Male,0,0,40,Philippines,0,<=50K
7420,1989,Swasta,215310,kelas 11,SMA_2,Cerai,Pengelola Kebersihan,Kerabat,1,Male,0,0,40,United-States,3,<=50K
7421,1983,Swasta,288679,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2,<=50K
7422,2001,Pengusaha perorangan,191283,SMA Grad,SMA Grad,Belum-menikah,Transportasi dan Pengangkutan,Punya Anak,1,Male,0,0,40,United-States,0,<=50K
7423,1991,Swasta,138142,Diploma,Kuliah,Rencana Cerai,Layanan Lainnya,Belum Menikah,2,Female,0,0,25,United-States,3,<=50K
7424,1997,Swasta,155057,Diploma,Kuliah,Menikah,Spesialis Profesional,Suami,1,Male,0,0,50,United-States,0,>50K
7425,1990,Swasta,281852,SMA Grad,SMA Grad,Belum-menikah,Transportasi dan Pengangkutan,Tidak dalam Keluarga,2,Male,0,0,80,United-States,0,<=50K
7426,1989,Swasta,139364,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,1902,40,United-States,1,>50K
7427,1977,Swasta,181363,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,2,>50K
7428,1960,Swasta,270333,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,1,>50K
7429,1995,Swasta,413297,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Sales,Tidak dalam Keluarga,1,Male,0,0,45,Mexico,0,<=50K
7430,1976,Swasta,73434,SMA Grad,SMA Grad,Menikah,Administratif dan Kantor,Istri,1,Female,0,0,40,Germany,0,>50K
7431,1972,Swasta,174767,Diploma,Kuliah,Menikah,Eksekutif Manager,Suami,1,Male,0,0,45,United-States,0,>50K
7432,1987,Pengusaha perorangan,32239,SMA Grad,SMA Grad,Cerai,Pertanian dan Perikanan,Tidak dalam Keluarga,1,Male,27828,0,40,United-States,3,>50K
7433,1989,Pemerintah daerah,45607,Magister,Magister,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,60,United-States,0,>50K
7434,2002,,291547,kelas 5-6,SD_2,Menikah,,Istri,5,Female,0,0,40,Mexico,1,<=50K
7435,1992,Swasta,30271,Diploma,Kuliah,Cerai,Eksekutif Manager,Belum Menikah,1,Female,0,0,30,United-States,1,<=50K
7436,2002,Swasta,326334,Diploma,Kuliah,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,35,United-States,0,<=50K
7437,1980,Swasta,203761,Diploma,Kuliah,Menikah,Eksekutif Manager,Suami,1,Male,0,0,45,United-States,0,>50K
7438,1969,Pemerintah daerah,212448,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,1,<=50K
7439,1981,Pengusaha perorangan,116666,Proffesor,Doktor,Menikah,Spesialis Profesional,Suami,5,Male,0,0,35,United-States,1,>50K
7440,1981,Pengusaha perorangan,33521,Sarjana,Sarjana,Cerai,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,70,United-States,1,>50K
7441,1978,Swasta,195833,Sarjana,Sarjana,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,50,?,1,<=50K
7442,1985,Swasta,56648,SMA Grad,SMA Grad,Rencana Cerai,Sales,Tidak dalam Keluarga,1,Female,0,0,47,United-States,3,<=50K
7443,1977,Swasta,303637,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,49,United-States,1,>50K
7444,2003,Swasta,38772,Diploma,Kuliah,Belum-menikah,Sales,Punya Anak,1,Male,0,0,20,United-States,0,<=50K
7445,2003,Swasta,387335,Diploma,Kuliah,Belum-menikah,Dukungan Teknis,Punya Anak,1,Female,0,1719,9,United-States,0,<=50K
7446,1983,Swasta,163174,SMA Grad,SMA Grad,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K
7447,1987,Swasta,208391,Diploma,Kuliah,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,2,>50K
7448,1986,Pemerintah pusat,338320,Proffesor,Doktor,Menikah,Spesialis Profesional,Suami,1,Male,0,1977,50,United-States,2,>50K
